COD_AUDITOR,OFICINA,NOMBRE_AUDITOR
R29407,910,Fausto Múgica-Camps
33466,910,Victor Prats-Menéndez
29100,910,Che Vergara Pérez
34161,910,Yolanda Barreda
R00004,910,Jeremías Severiano Cantero Álvarez
33900,910,Benigna María Manuela Tirado Páez
149,901,Omar del Gisbert
2299,901,Vilma Román-Almeida
29667,901,Prudencio Pinto Suárez
33663,901,Ainara de Vargas
c_heras,SGS,Marianela Toledo Cantón
MAIDER_L,SGS,Fabián Gutiérrez Garriga
M_CASTANO,SGS,Dani de Pont
jesus_cano,SGS,Macario Araujo-Céspedes
S_GARCIAHU,SGS,Encarnacion del Adadia
ALMU_REYES,SGS,Mar Gonzalo Palmer
C_MBRITO,SGS,Julia Griselda Diéguez Valbuena
J_ZUBIAUR,SGS,Eutimio Garmendia Rosa
d_vega,SGS,María Manuela Nicolau Benítez
30948,917,Bartolomé del Benitez
33427,917,Alex Landa Ochoa
29384,917,Carmina Cruz Llopis
30811,917,Fermín Jeremías Priego Gelabert
32002,917,Eva Jara Olivé
31924,917,Guillermo Mercader Vera
32099,917,Pascuala Judith Sebastián Chamorro
29665,917,Joaquín Trillo
31838,917,Elodia Méndez Guardiola
2643,917,Juan Antonio Garcés Estévez
33510,917,Rebeca Montenegro Guijarro
34095,917,Darío Clavero Herrero
2946,917,Dora Corominas Cuéllar
29710,917,Elena del Gisbert
2730,917,Bernarda Álamo-Miguel
29902,917,Benito Castilla Bárcena
34070,917,Ani Álamo
33991,917,Amando Merino Pinto
32902,917,Raimundo Guardia-Luna
31433,917,Odalys Pagès Domingo
33853,917,José Manuel Izaguirre Girona
31644,917,Manuelita de Monreal
2940,917,Montserrat Acero Angulo
31285,917,Lorena Zabala Ariño
34171,917,Nereida Garrido Prada
34000,917,Reyna Bernal Carbajo
33811,917,Nicodemo Cerezo Olmedo
33625,917,Loreto Arce Mir
34019,917,Eliana Sanmiguel Cabañas
33394,922,Luisa López Dueñas
33873,922,Prudencio Font Collado
34172,922,Eva Valdés Rubio
33481,922,Ileana Nilda Abella Benet
31882,922,Berto Cabanillas Belmonte
33125,922,Paulina Moliner Alberdi
34170,922,Óscar Canales-Iñiguez
33373,922,Chus Salas Suarez
33033,922,Herminia Isa Vergara Feijoo
34081,922,Miguela Benítez
34083,922,Daniel Isidro Cabanillas Cabanillas
29369,922,Susana de Pascual
32018,922,María Ángeles Fuertes Quevedo
33196,922,Hortensia Giménez Cortes
31982,922,Leocadio Puerta Larrañaga
34037,922,Álvaro del Fonseca
2767,922,Horacio Lamas Giralt
2785,922,Julián Vega Bejarano
33525,922,Ramiro Olmedo Angulo
34064,922,Gil Planas Martinez
30790,922,Matilde Luna Mena
34146,922,Águeda Bayona Bartolomé
33127,922,Joel Santana Quero
33949,922,Ramona Beltran Barrena
31021,922,Martín Becerra Castrillo
29317,922,Brunilda Catalá Castilla
34001,922,Charo Losada Herrero
33626,922,Saturnina Angulo Losada
34,917,Nilo Tejedor López
33625,922,Leonardo del Gual
33916,922,Jordi de Porcel
34,922,Nidia Ortiz Nebot
2715,908,Antonio Álvarez Casanova
33904,905,Ceferino Viñas
33560,905,Florina Hidalgo
34116,908,Graciela Adadia Carrasco
31174,908,Rubén Curro Abella Mora
2717,908,Yolanda del Farré
30841,908,Bartolomé Valverde Armengol
2742,908,Cebrián Becerra Coronado
R00141,905,Elpidio Matas Falcón
333,905,Pili Castell Oliver
33467,905,Morena Sureda Gimeno
32347,905,Belen Otero Murillo
r02743,908,Eric Quero-Maestre
32822,908,Isa Tomé Llano
34105,905,María Teresa de Arregui
33568,905,Emigdio Alvarado Montserrat
r02746,908,Vasco de Valdés
33590,908,José Ángel Salazar Miguel
33987,905,Cintia Ocaña Crespi
33575,905,Carmelo del Méndez
34025,905,Javi Florentino Bru Quero
R01140,905,Victor Ávila Agustín
33598,905,Eduardo Jáuregui Borrell
32200,905,Eliseo Prieto Antón
2522,905,Isabela Rico Mesa
32341,905,Hernán Cuervo-Vicens
33554,908,Adolfo Morante
33564,905,Carlos Grau Corral
34047,905,Elena Carpio Feliu
30046,905,Andrés Felipe Abellán Carrillo
r02742,908,Luciana Mancebo Martin
R32143,905,Fortunato Azcona-Vallés
31879,905,Jose Ignacio Beltrán Carrasco
29880,905,Cecilia de Casares
33949,908,Elvira del Espinosa
33555,905,Ema Campo Beltran
33842,908,Basilio Milla-Martí
32369,919,Nerea Sebastián-Amador
32777,919,Tere Calatayud Coello
33415,919,Aránzazu Páez
33940,919,Fernanda Cuevas-Galván
32368,919,Máxima Franch
31497,919,Nicodemo Amaya Robledo
32606,919,Concha Coral Bejarano Sanmiguel
32497,919,Jose Antonio de Gárate
34073,921,Magdalena de Miranda
33379,921,José María Llorente Pinto
29590,921,Mauricio Santiago Sanchez Cantero
30888,921,Fabio Grau Contreras
33268,921,Efraín Miró Navas
34088,921,Sabina Sarabia Pulido
33460,921,Corona Purificación Villanueva Bermúdez
677,921,Felix Rosa Alcalá
33458,921,Olimpia Alfaro Puente
32571,901,Valerio Vara Pujadas
33794,901,Patricio de Bello
2474,901,Cecilio Lluch Alegre
33386,901,Imelda María Luisa Palma Cardona
29116,901,Augusto Venceslás Guerrero Salas
30895,901,Haroldo Escrivá
29343,901,Nuria Uría Osorio
31082,901,Nacio Vázquez Rubio
32664,901,Marcos Hierro Cano
157,901,Ligia Casanova Iglesias
31678,901,Maximiano del Villar
34068,901,Angelino Pagès Jódar
32136,901,Crescencia Godoy Sanmartín
33133,901,Olegario Josep Larrea Batalla
31144,901,Consuela Tomas Milla
901_02707,901,Natalia Calatayud Barrera
32844,901,Jesús Hierro Martí
30195,901,Jorge Granados
32621,901,Salud Soler Ayuso
33981,901,Serafina Fabregat Menéndez
29724,901,Telmo José Antonio Bertrán Lluch
30008,901,Águeda Borja Aragonés
30986,901,Jesusa Camacho
34067,901,Zaida Ricarda Ferrera Vives
31085,901,Aurelio Nuñez Samper
31708,901,Leyre del Guerrero
29664,901,Roberto del Lladó
32826,901,Aureliano Otero
33808,901,Andrés de Mínguez
30549,901,Amílcar Cámara Lozano
33996,901,Valero Borrell
31707,901,Jonatan Clavero Piñeiro
33383,901,Isaac Montero-Garzón
33024,901,Ileana Mayol Fajardo
R29502,901,Iris Ofelia Carnero Pablo
34063,901,Pastora Ortiz Priego
32866,901,Epifanio Francisco Oliver
30550,901,Cornelio Pérez Juliá
R29530,901,Rafaela Ballesteros Carrión
31403,901,Saturnina de Montserrat
31378,901,Fabiola Tejedor Vilar
32708,901,Aurelia del Padilla
31808,901,Geraldo Vallés Gómez
294,901,Juliana Narváez Montalbán
34061,901,Enrique Casas Olivé
31084,901,Amor Godoy Salvà
29773,901,Rosa Peral Barberá
29501,901,Filomena Salvà Sarmiento
901_02357,901,Mayte de Cózar
R29994,901,Zaira Chita Bravo Ferrándiz
31366,901,Ciriaco Pol Morell
R34043,901,Anselma Fabregat
32942,901,Raúl Corominas Estévez
31846,901,Virginia del Ayllón
30260,901,Dominga Hernando Giralt
31780,901,Sonia del Bayón
33953,901,Susanita Acero Bou
32585,901,Aurelio Blazquez Montero
34049,901,Cándida Valera Corominas
34008,901,América Vázquez Manso
29175,901,Maximino Diaz-Tamayo
33954,901,Félix Fuster Castejón
2309,901,Severiano Urbano Valderrama Pla
30845,901,Adelina Valencia Castrillo
33485,901,Remigio Arellano
31414,901,Concepción Aguilera
33280,901,Esther Miguel Ferrández
29889,901,Rafa Jimenez Vendrell
34130,911,Zaira Planas Priego
33887,911,Susana Pou Anglada
32441,911,Quique de Viana
31098,911,Patricia del Pérez
34138,911,Yésica de Roldan
33270,911,Osvaldo Moreno Santos
2581,911,Rita Leocadia Alba Gracia
29801,911,Atilio Verdú Palma
2583,911,Vanesa Aguiló
34133,911,Telmo Fernández Marí
29253,910,Ismael Montes Lladó
31559,910,Evelia Balaguer
33902,910,Felicia Baquero Cerezo
34026,910,Luz Berrocal-Jover
33558,910,Cipriano Bolaños Diéguez
32939,910,Nico Valentín Guzman
30180,910,Adelia de Montesinos
10,910,Lorenza Goicoechea Serna
33108,910,Lupita Menéndez Quintana
29407,910,Agustina Rovira
33844,910,Yago Mas Dalmau
31121,910,Carlito Flores Rodriguez
R02902,910,Eusebio Carmelo Benítez Aliaga
30472,915,Pastora Quero Pina
66,915,Ambrosio Escamilla Boix
31768,915,Mireia de Romeu
33109,915,Teodora Padilla-Giner
33411,915,Teobaldo Bustos Ferrera
2472,915,Amílcar Carreño Gálvez
34028,901,Trinidad Sáenz Valderrama
30359,901,Eusebio Mateo Aznar
31056,901,Prudencia Tomé Vidal
30103,901,Edelmira Bernat-Gálvez
33943,901,Ovidio Amador Cuervo
33533,901,Teodosio Ferrer
98,905,Pío Sabas Quintana Piña
32102,905,Simón Barón Bolaños
33904,908,Celestino de Guzmán
29165,917,Glauco Mateu Vilar
32284,915,Dionisio Batalla Nevado
31336,915,Emiliano Eleuterio Adadia Torrecilla
2482,915,Bonifacio Suárez
33609,915,Calixta Quirós Tamarit
31848,915,Anselmo Valcárcel Alcalá
33400,915,Fito Salinas Bayona
33877,915,África Ponce Peñas
33658,915,Bernabé Sans-Garrido
30332,915,Joaquina Guillen-Río
31847,915,Narciso Pedrero Lluch
R00031,911,Evita Acedo Almansa
33448,915,Vito Moles Castro
33738,915,Íngrid del Azcona
R02031,911,Calista Lillo Molina
R01127,911,Candelaria Viñas-Guardia
73,915,Sergio Carreras-Palma
R00096,911,Octavia Falcó Arenas
33434,915,Segismundo Nevado-Flores
31094,915,Armando Campo Medina
32670,915,Arcelia Pascuala Gaya Arellano
2423,915,Margarita Portero Sosa
33630,915,Adriana Rico Llano
31806,911,Hipólito Avilés Pinedo
33470,911,Teodoro Arjona Cortina
2337,911,Custodio del Parejo
30409,911,Armando Díaz-Amor
30105,911,Norberto Martín Fortuny Tudela
33575,911,Maura Duarte Badía
33052,911,Adriana Bayo Pineda
31389,911,Olegario Nogueira Naranjo
2645,911,Ernesto Soria
31290,911,Eutimio Camacho Prats
31751,911,Leonardo Maximiliano Puerta Gutiérrez
31955,911,Victoria Sanz Velasco
32823,911,Erasmo Tejada Verdú
32916,911,Luis Ángel Valdés Abascal
29997,911,Nydia Iglesias-Talavera
31913,911,Ana Belén Barbero Villalba
29436,911,María Del Carmen Rocamora Gimeno
29109,911,Julieta Cano Elorza
33392,911,Eloísa Luz Aguilera
2468,911,Toribio Molins
33156,911,Herberto Perez Cazorla
33542,911,Anselma Benavente Garzón
33402,911,Ale Vasco Borrego Torralba
33748,911,Lola Aguado Morera
31328,911,Alejandro Puerta Bernat
34116,911,Isidoro Sans Alegre
32843,911,Ignacio de Pozuelo
32098,911,Cecilia Trujillo Ricart
33013,911,Demetrio Badía Riba
33642,911,Calista Verdejo Ugarte
31503,911,Valero Ricart Bartolomé
30779,911,Borja Hidalgo Laguna
33571,911,Maxi Escribano Bernat
29970,911,Irma del Merino
30532,911,Ernesto Guitart Hurtado
32364,911,Fausto de Calleja
29819,911,Tomás Cerdá Escudero
30386,911,Maribel del Acero
2498,911,Blas Clavero Arce
30502,911,Benita Ángel-Estevez
2359,911,Amor Amo Sabater
33058,911,Jose Antonio Amaya Murcia
33261,911,Olalla de Guzmán
33166,911,Celestina Badía Cánovas
2301,911,Nereida Marisela Llano Casals
32269,911,Humberto Arévalo
2485,911,Fidel Valls-Benavides
2273,911,Plinio Aparicio Zurita
R00028,911,Moisés Andres-Ruano
32542,911,Salud Ribes Larrañaga
2019,911,Cristian Vito Nuñez Marín
33234,911,Rufino Alcides Chaparro Galán
31936,911,Sandra Tejera Gordillo
33641,911,Candela Rosado Borrell
32247,911,Elisa Remedios Cózar Rivero
33422,911,Cristina Melania Gual Valle
R31755,911,Josefa Pellicer Chico
